lenguaje;matematicas;sociales;Id;filosofia;biologia;quimica;fisica;nivel_ingles; sisben;estrato;genero;puntaje_saber11   
alto;medio;medio;5352;medio;medio;medio;alto;A-;1;1;Mujer;medio
alto;alto;alto;5353;alto;medio;alto;alto;A1;5;3;Hombre;medio
medio;medio;medio;5354;alto;alto;alto;bajo;A1;5;4;Mujer;medio
medio;alto;medio;5355;alto;alto;superior;alto;A1;3;2;Hombre;medio
alto;medio;alto;5356;medio;alto;alto;medio;A-;2;3;Hombre;medio
medio;medio;alto;5357;medio;medio;medio;medio;A-;5;2;Hombre;medio
alto;alto;alto;5358;alto;alto;medio;alto;A1;1;2;Mujer;medio
alto;alto;medio;5359;medio;medio;alto;alto;A1;3;3;Hombre;medio
medio;alto;alto;5360;medio;medio;medio;alto;A1;2;2;Mujer;medio
medio;medio;alto;5361;medio;medio;alto;medio;A-;1;1;Mujer;medio
alto;alto;medio;5362;medio;alto;alto;medio;A1;5;5;Mujer;medio
alto;alto;alto;5363;alto;alto;medio;medio;A1;2;2;Mujer;medio
medio;alto;alto;5364;medio;medio;alto;medio;A1;5;3;Hombre;medio
alto;medio;medio;5365;medio;medio;medio;alto;A1;1;1;Hombre;medio
alto;alto;medio;5366;alto;alto;alto;alto;A1;5;3;Mujer;medio
alto;medio;alto;5367;medio;medio;medio;alto;A1;1;1;Hombre;medio
alto;medio;alto;5368;medio;alto;medio;medio;A1;1;1;Hombre;medio
alto;alto;alto;5369;medio;alto;alto;alto;A2;2;3;Hombre;medio
medio;medio;medio;5370;medio;medio;medio;medio;A-;2;2;Hombre;medio
alto;alto;alto;5371;alto;alto;alto;alto;B+;5;6;Hombre;medio
medio;alto;medio;5372;medio;alto;alto;medio;A1;5;3;Hombre;medio
alto;superior;alto;5373;alto;alto;medio;alto;A2;5;4;Hombre;medio
alto;alto;medio;5374;alto;medio;medio;alto;A1;1;1;Hombre;medio
medio;alto;alto;5375;alto;alto;medio;alto;A1;2;2;Mujer;medio
medio;medio;alto;5376;medio;medio;medio;medio;A1;1;1;Mujer;medio
medio;medio;medio;5377;alto;medio;medio;medio;A1;1;1;Hombre;medio
alto;medio;alto;5378;medio;medio;alto;alto;A1;5;2;Hombre;medio
alto;medio;medio;5379;alto;medio;alto;medio;A-;5;3;Hombre;medio
medio;medio;medio;5380;medio;medio;medio;medio;A1;3;3;Hombre;medio
alto;superior;alto;5381;alto;alto;alto;alto;B1;5;3;Mujer;medio
alto;alto;medio;5382;alto;alto;alto;alto;A1;2;2;Mujer;medio
alto;alto;alto;5383;medio;medio;medio;medio;B1;5;4;Hombre;medio
alto;alto;alto;5384;alto;alto;alto;alto;B1;5;5;Mujer;medio
medio;alto;medio;5385;medio;medio;superior;alto;A1;5;5;Hombre;medio
alto;medio;medio;5386;medio;medio;medio;medio;A1;1;1;Hombre;medio
alto;alto;alto;5387;alto;alto;alto;alto;B1;5;2;Mujer;medio
alto;medio;alto;5388;medio;alto;alto;alto;A1;5;3;Mujer;medio
medio;medio;medio;5389;medio;medio;medio;medio;A-;1;1;Mujer;medio
alto;alto;medio;5390;medio;medio;medio;medio;A1;1;1;Mujer;medio
medio;medio;medio;5391;medio;alto;medio;medio;A1;2;2;Mujer;medio
medio;medio;medio;5392;medio;medio;alto;alto;A-;1;1;Hombre;medio
